gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Smp_317720	9572.085877642961	14.701023569146082	1.0629433459757944	13.830486473999581	1.6688804721792381e-43	4.2929754251452775e-41
Smp_009230	20264.594064624805	10.586568080869139	0.7693257110596885	13.760840082007574	4.3840279494228296e-43	1.0988172616822604e-40
Smp_350210	2915.432911806558	8.93687634368759	0.6496774765113518	13.75586605168609	4.696230640979963e-43	1.1476413628894785e-40
Smp_136870	1682.9800835986632	7.5876239291330165	0.555791033100309	13.651936568331797	1.9658402386052985e-42	4.686850812772389e-40
Smp_350180	78057.5341851625	11.665648858890645	0.8558290067260458	13.630817332912466	2.6262242637183725e-42	6.112224328058831e-40
Smp_321790	908.8039758770267	8.419425124450425	0.6179921672210802	13.623837923884988	2.8897345788152416e-42	6.569105932074184e-40
Smp_337820	4076.3879981816012	13.1038015703423	0.9619796237353412	13.621703877116014	2.975438119795074e-42	6.610206277499283e-40
Smp_203090	7184.461916193276	10.896965938334757	0.8006746181002482	13.609730709573219	3.5053300545488706e-42	7.360089110857136e-40
Smp_323820	2838.7927831754223	8.99167623375894	0.6605783007505374	13.611825007789017	3.406302535335762e-42	7.360089110857136e-40
Smp_350190	1274.6058178374221	13.27290963506067	0.9753013236365985	13.609034780728148	3.5388663755527914e-42	7.360089110857136e-40
Smp_349320	1594.7548735759253	13.688046006218006	1.00636990307927	13.601406365925294	3.928067229443032e-42	7.999345243292843e-40
Smp_009810	2474.0909081703485	8.171799995299343	0.6033975847375295	13.542977635308196	8.718201558771129e-42	1.7391922497344448e-39
Smp_085410	5193.675865143504	7.915098591208007	0.5863453088678963	13.499039681054702	1.5842772883320465e-41	3.097262098689151e-39
Smp_194130	3725.6361244476416	10.001793092244458	0.7410610699266973	13.496584152280182	1.6379616550739324e-41	3.13942650555837e-39
Smp_303760	2171.672660679617	6.902742065673651	0.511753645563939	13.488408193100437	1.830091847550196e-41	3.440220732654455e-39
Smp_350230	4787.402904962743	8.991925188545853	0.6670564217210999	13.48000693156572	2.0508757196573904e-41	3.7825113508775455e-39
Smp_303260	882.940602646596	16.339541992454315	1.2147572245001963	13.450870398549892	3.0426950360412184e-41	5.5078414772783165e-39
Smp_349330	865.7987271747231	8.277643972896396	0.6174410325492261	13.406371680094734	5.548779682936759e-41	9.861694800128512e-39
Smp_335380	31902.295879302746	12.590091431568025	0.9427305481616298	13.35492040235602	1.1087659881104132e-40	1.9353906310320157e-38
Smp_056460	13263.318303613782	8.39115601255222	0.6287783104218515	13.345174083569354	1.263750109089383e-40	2.1672205818155649e-38
Smp_348950	3505.0830167574495	8.905865760283996	0.66760981610652	13.339926324365228	1.3559347636436677e-40	2.2852176404511814e-38
Smp_323710	5616.657906100348	13.363983408831672	1.0043512378866988	13.306085465629971	2.1337163551322937e-40	3.535097859562402e-38
Smp_343480	3517.4601074484467	7.540104582660042	0.5683349502338692	13.267008442041613	3.5965412516552772e-40	5.859365122488388e-38
Smp_349690	2616.212265793129	8.786132988699213	0.6630141807922348	13.251802515295637	4.404947240705302e-40	7.058747422605627e-38
Smp_341380	1892.2942571902654	7.138547870241637	0.5413433939825952	13.186727592119004	1.046293372098295e-39	1.6495996310098119e-37
Smp_153370	2279.6670758880105	11.613832666692945	0.88544910166054	13.116318764017912	2.6552282432716388e-39	4.119818425076233e-37
Smp_332670	1692.4818236369458	10.527066220078659	0.803856057645547	13.095710506818712	3.483987143965221e-39	5.321245989415631e-37
Smp_349360	1856.1026969467148	7.759105060804248	0.5926089708268841	13.093127918697801	3.6045244659185595e-39	5.420650254515987e-37
Smp_322230	15983.035010284717	7.269026521189751	0.5557441325103131	13.079807947508755	4.2952403636936674e-39	6.361511296228121e-37
Smp_350510	2159.8362159109406	13.542850736283178	1.0359018815695145	13.073487921234538	4.6675302997928004e-39	6.809717713503675e-37
Smp_349530	1866.7419581661895	9.846953591088084	0.7611146867024142	12.937542479636992	2.76328006165003e-38	3.972215088621918e-36
Smp_349650	1464.0044989691946	9.645442402385308	0.7472797063490534	12.907405781845137	4.0884424811747876e-38	5.791960181664282e-36
Smp_349160	2031.386667569176	11.581176477585663	0.9025001590261291	12.832326245884202	1.0806988531627908e-37	1.5091187556666114e-35
Smp_349560	8826.793866306014	10.318322105076511	0.8043171677623215	12.828673213308324	1.1328759726222513e-37	1.5596989623073952e-35
Smp_002630	2303.386903511684	11.317994832688807	0.8836925691751796	12.807615711030353	1.4863166150569023e-37	2.0178812378029472e-35
Smp_350100	14905.541925869875	12.307148879362563	0.9610806970264153	12.805531229001783	1.526773829212374e-37	2.0444129014453366e-35
Smp_349050	1959.8718649775433	9.135381523705332	0.7147549117109404	12.78113850499826	2.089877066692204e-37	2.760614638772472e-35
Smp_204710	2090.4442521668	6.106654430917649	0.48015941742145174	12.717972842668702	4.698928771271106e-37	6.124270498556675e-35
Smp_029400	1577.6015913394867	10.28359360986014	0.8087575432419304	12.715298541313171	4.8624890318480386e-37	6.25405661662034e-35
Smp_133400	2728.081119284755	9.252517723441056	0.730918556056149	12.658753354635424	1.0007591021750393e-36	1.2704441849040271e-34
Smp_075330	7899.7953330561995	6.0671459762365485	0.4806568099845544	12.622615242737353	1.5846973455626068e-36	1.985950840112113e-34
Smp_155110	2938.228125670769	13.786269583923557	1.0936582834139488	12.605646382422604	1.9655452533151063e-36	2.4320512469816662e-34
Smp_349190	4091.9664291119484	11.162117797378752	0.8871790174227016	12.581584525979041	2.6662759635715145e-36	3.2578559429889444e-34
Smp_332150	2538.8345848126314	11.181992884143334	0.8891666290433718	12.57581258551472	2.8683572210786477e-36	3.4615051649436767e-34
Smp_328770	2844.423055335319	11.90877116862619	0.9474705921659035	12.569014032829156	3.1259798926713366e-36	3.7263967623002824e-34
Smp_349310	812.4774933035047	12.30288375905053	0.981244653705083	12.53803902278199	4.622938219686744e-36	5.444484469570834e-34
Smp_190940	5939.248562280362	5.702080221901218	0.4548408470106998	12.536429521175085	4.717768789899722e-36	5.490022609674974e-34
Smp_330600	10667.807158488644	12.41311478352675	0.9935589054922548	12.493587159159649	8.092109037562147e-36	9.30592539319647e-34
Smp_349540	714.8344374988039	9.692667585004935	0.7810585504859661	12.40965556164037	2.3164715385392203e-35	2.6329661964210323e-33
Smp_330700	1567.1975836937331	11.885983979552874	0.9597766373343198	12.384114717112684	3.185809254971872e-35	3.5794580996954086e-33
Smp_318000	1288.4447397198294	6.096024580473042	0.4936508879428635	12.348857723879172	4.94079550885454e-35	5.4882131930742184e-33
Smp_179970	2974.374260093563	7.426421413784207	0.6036765619262594	12.301987325940548	8.837270529018717e-35	9.706103305748084e-33
Smp_349300	1337.0333202884103	9.927397947552658	0.8086059650641658	12.27717624710434	1.2011791947327616e-34	1.3046140698347494e-32
Smp_331130	3202.0891517736272	9.349495933057256	0.7617869481171393	12.27311121064205	1.263050146627034e-34	1.35673793222849e-32
Smp_343490	2574.1886240102854	6.6459464171446045	0.5417310382933139	12.267981613315342	1.3456607730054056e-34	1.4297645713182434e-32
Smp_330730	1074.8898380084997	12.097485859846774	0.988513346540676	12.23806021656884	1.946286384676826e-34	2.0456934849694598e-32
Smp_349730	849.4829457474773	9.354201711159408	0.7676514403031477	12.185480571058928	3.7145719791614077e-34	3.8627596910960383e-32
Smp_349240	1296.3924423934795	7.748734016132553	0.6363229876513414	12.177359873062285	4.103511381511627e-34	4.222297237292227e-32
Smp_314670	1314.943279094943	11.573629526161271	0.954727159726852	12.122447139214614	8.03243574172663e-34	8.178860351601855e-32
Smp_320210	1253.9988677043839	8.854738373231983	0.7314290086563185	12.10608038297346	9.806958961717012e-34	9.882785963998328e-32
Smp_317780	4600.507150570722	14.519791985069817	1.2000463156932266	12.099359662366213	1.0643817451651024e-33	1.0616664856111098e-31
Smp_327920	9226.704945463563	11.082110347378752	0.9160514765309065	12.097693886534394	1.086197871746816e-33	1.0724832521540534e-31
Smp_347850	3304.5270797207945	6.878950939110043	0.5696538199336731	12.075668938568663	1.4200471172508375e-33	1.3880960571126938e-31
Smp_349270	1338.4886702668039	10.814281752738864	0.8965711696196041	12.061821882279721	1.680243558922897e-33	1.6261763156902295e-31
Smp_342770	1197.0272938583887	8.27972982199962	0.6884593772046756	12.026460959276173	2.5798403351615376e-33	2.47234698786314e-31
Smp_202700	10231.20528808994	9.13096870292695	0.7605884734083032	12.005136840964475	3.339111419397734e-33	3.1689139926808593e-31
Smp_179390	220.41376552656118	11.992913703101145	0.9995321847169287	11.998526797311268	3.6167676778210916e-33	3.399413851028959e-31
Smp_349820	782.0710415774113	10.606435413781975	0.8856419248717305	11.975986136065236	4.747586995669103e-33	4.419777417396712e-31
Smp_349100	1461.9621465064217	9.032128018158973	0.7546224199021037	11.969069272194035	5.160424105150057e-33	4.758787323381303e-31
Smp_349370	3343.422631426641	6.516553538660152	0.5464493020552674	11.925266468729195	8.740391050981903e-33	7.984796497509168e-31
Smp_327910	4356.432651393705	8.938605928403907	0.7499530405600311	11.918887510248588	9.43600926014402e-33	8.540462084991462e-31
Smp_302810	4575.950874049206	8.037009147595299	0.6752414431228313	11.902422799207999	1.1496034557125912e-32	1.0309517228982182e-30
Smp_349670	2849.7102072864573	9.223665835059888	0.7761464438726624	11.883924622571818	1.4346963129403403e-32	1.2749233144538023e-30
Smp_055260	1312.956394521435	6.995276959654458	0.5897840820807825	11.860742214294481	1.8928967896070533e-32	1.6653399405494882e-30
Smp_327395	275.3086006212346	9.389674003599662	0.791704647840179	11.860071845245944	1.9081132822664215e-32	1.6653399405494882e-30
Smp_173350	21302.63783628275	9.04226288708807	0.7628989664317669	11.852503784846592	2.0885573978471006e-32	1.8066945631818945e-30
Smp_333980	629.233526458711	6.056254683362893	0.5115597920220207	11.83880120723443	2.4594319070903987e-32	2.1088549905095306e-30
Smp_324350	1720.0621437299649	16.336984606501332	1.3808846109627275	11.830810827206978	2.705159389280026e-32	2.299385480888022e-30
Smp_314020	2271.935917137228	9.818887670076036	0.8317704280696345	11.804804954251168	3.686447921937199e-32	3.1064679687013897e-30
Smp_343060	1226.5884781852676	6.415601475065454	0.543521699358762	11.803763276856241	3.7323820527345957e-32	3.1182935526051857e-30
Smp_332340	5175.32153136662	11.906529969825197	1.0118405996531572	11.767199274180701	5.760534916422245e-32	4.7719685430531736e-30
Smp_303070	4095.2938115403804	7.178289134346181	0.6119482017314186	11.730223430735238	8.922284689876835e-32	7.329019566684543e-30
Smp_350110	2857.4007113898047	5.726027447519267	0.48873619047800915	11.715988214253006	1.0555322348836633e-31	8.598189663323174e-30
Smp_350160	4253.216873550947	9.17882541922037	0.7834970798402077	11.71520054815312	1.0653883608757086e-31	8.606753080628142e-30
Smp_349070	1657.5614602472904	9.567384005756434	0.8170465863752764	11.70971663709033	1.1365883431212924e-31	9.106681191811993e-30
Smp_349210	943.8172644162609	7.23251728201713	0.6179849338214993	11.703387714151285	1.2246486355594364e-31	9.732471880157309e-30
Smp_329430	6768.2947468249995	4.996408558942777	0.427836991530042	11.67829958104952	1.6455440674765642e-31	1.297193004805114e-29
Smp_302270	66835.47526107603	5.772353624177775	0.4946460409375186	11.66966506643265	1.8213890087535472e-31	1.424326204845274e-29
Smp_349520	912.6341280714896	10.821975070384871	0.928332010448419	11.657440386179783	2.102686562148386e-31	1.631250884523847e-29
Smp_008400	1398.7174531951985	8.80832027331836	0.7571804645597686	11.633052733920698	2.799051128514668e-31	2.1543877780496754e-29
Smp_349750	701.0362783229183	9.469808112625154	0.815304608771348	11.615055294359264	3.4556475610253922e-31	2.638980852267438e-29
Smp_324340	1893.5083954971662	12.987503838809973	1.1208152249872207	11.587551229916647	4.765629541040219e-31	3.6111650204393904e-29
Smp_343980	1936.936404422305	6.9346935896793545	0.598818106254468	11.58063444850556	5.166227814747265e-31	3.8846059145503476e-29
Smp_345060	440.7315849747607	7.297167554057765	0.6303894399206836	11.575650053680949	5.475464595183181e-31	4.0856997265584423e-29
Smp_214320	975.7490247054992	7.6654475194147045	0.6634868390828299	11.553277424479173	7.105799525313582e-31	5.26205987575305e-29
Smp_349570	947.5069694293117	11.079490462933972	0.9608304561159308	11.531160770779268	9.18962342155363e-31	6.754027740277198e-29
Smp_047640	252.22213842854524	6.004901391151362	0.5227200910751805	11.487795272609302	1.5194023612983745e-30	1.1083700060963888e-28
Smp_303010	943.5091961362671	7.623831288683565	0.6648326374751254	11.467293960833578	1.925877797883658e-30	1.3944781832824265e-28
Smp_349640	2341.699383921158	6.078035305205098	0.5326267527907065	11.411434505231167	3.6663246072758595e-30	2.635170811479524e-28
Smp_348060	4102.733747142398	5.5055803007778685	0.4833096173979211	11.39141474241549	4.614360906906696e-30	3.2923633478111643e-28
Smp_350150	1852.827397799604	7.631238710914198	0.6706326213221885	11.379164192563133	5.3106244946542595e-30	3.7616923503801e-28
Smp_072630	8114.003984086183	12.253484343810879	1.0778148133687036	11.36882161186177	5.978930166324174e-30	4.20460736516682e-28
Smp_321810	1782.9739051694269	9.220877471045787	0.8119690552372737	11.356193209051867	6.909013024787206e-30	4.823971594092495e-28
Smp_349280	1379.2922456041022	10.702568797824227	0.9484414863410376	11.28437436779925	1.567528677638684e-29	1.0867087109161798e-27
